game,year,month,month_idx,draw_nr,numbers
on-numara,2021,Temmuz,7,59,"[2, 4, 7, 8, 10, 11, 20, 21, 22, 24, 27, 28, 43, 47, 49, 50, 59, 65, 71, 73, 74, 77]"
on-numara,2021,Temmuz,7,58,"[2, 3, 6, 8, 11, 13, 18, 20, 27, 28, 33, 47, 55, 58, 61, 62, 67, 70, 71, 73, 75, 76]"
on-numara,2021,Temmuz,7,57,"[3, 4, 5, 7, 8, 9, 12, 13, 15, 18, 21, 26, 27, 28, 40, 52, 64, 71, 72, 74, 77, 78]"
on-numara,2021,Temmuz,7,56,"[2, 3, 5, 11, 15, 17, 19, 20, 24, 31, 35, 36, 38, 45, 53, 57, 58, 63, 71, 73, 76, 78]"
on-numara,2021,Temmuz,7,55,"[2, 5, 9, 11, 13, 16, 17, 18, 19, 20, 23, 26, 32, 41, 46, 47, 48, 50, 54, 58, 59, 75]"
on-numara,2021,Temmuz,7,54,"[1, 3, 7, 10, 17, 25, 27, 28, 29, 32, 34, 36, 43, 46, 49, 52, 57, 59, 63, 67, 78, 80]"
on-numara,2021,Temmuz,7,53,"[6, 7, 11, 13, 16, 17, 18, 20, 21, 24, 26, 28, 36, 42, 44, 50, 53, 55, 56, 66, 77, 80]"
on-numara,2021,Ağustos,8,70,"[5, 9, 13, 15, 18, 25, 36, 47, 48, 53, 58, 60, 61, 64, 65, 69, 71, 72, 74, 75, 77, 79]"
on-numara,2021,Ağustos,8,69,"[5, 19, 20, 24, 28, 32, 33, 35, 38, 42, 44, 51, 52, 53, 57, 61, 64, 71, 74, 76, 77, 79]"
on-numara,2021,Ağustos,8,68,"[2, 3, 5, 6, 7, 9, 16, 18, 21, 22, 29, 30, 38, 39, 50, 52, 57, 58, 66, 77, 78, 80]"
on-numara,2021,Ağustos,8,67,"[3, 6, 9, 11, 13, 16, 17, 26, 29, 30, 32, 35, 37, 38, 40, 43, 45, 54, 60, 69, 71, 77]"
on-numara,2021,Ağustos,8,66,"[6, 20, 22, 23, 27, 28, 29, 32, 38, 41, 43, 50, 52, 53, 54, 55, 57, 60, 64, 65, 70, 77]"
on-numara,2021,Ağustos,8,65,"[6, 7, 11, 22, 23, 33, 39, 49, 54, 55, 58, 61, 63, 71, 72, 74, 75, 76, 77, 78, 79, 80]"
on-numara,2021,Ağustos,8,64,"[3, 4, 5, 16, 17, 21, 28, 29, 31, 37, 40, 42, 48, 53, 54, 56, 57, 58, 62, 66, 69, 79]"
on-numara,2021,Ağustos,8,63,"[6, 13, 23, 27, 28, 29, 37, 39, 40, 49, 51, 53, 55, 61, 62, 65, 68, 70, 75, 77, 78, 79]"
on-numara,2021,Ağustos,8,62,"[1, 2, 4, 8, 10, 16, 21, 25, 33, 36, 39, 44, 45, 53, 54, 60, 64, 65, 70, 72, 74, 76]"
on-numara,2021,Eylül,9,78,"[2, 6, 7, 12, 16, 19, 20, 26, 33, 36, 38, 42, 44, 45, 46, 48, 49, 50, 58, 68, 70, 74]"
on-numara,2021,Eylül,9,77,"[2, 8, 10, 11, 14, 21, 27, 28, 29, 35, 39, 40, 44, 50, 51, 55, 57, 63, 66, 67, 68, 79]"
on-numara,2021,Eylül,9,76,"[2, 5, 7, 12, 15, 16, 17, 18, 21, 32, 35, 40, 48, 52, 53, 55, 59, 70, 71, 73, 77, 78]"
on-numara,2021,Eylül,9,75,"[3, 4, 12, 13, 14, 15, 20, 23, 29, 31, 33, 34, 39, 42, 48, 50, 59, 64, 65, 68, 70, 80]"
on-numara,2021,Eylül,9,74,"[1, 2, 6, 7, 14, 21, 26, 43, 49, 55, 56, 59, 63, 66, 68, 70, 71, 72, 75, 76, 79, 80]"
on-numara,2021,Eylül,9,73,"[1, 5, 8, 9, 13, 24, 25, 28, 29, 30, 31, 41, 44, 55, 57, 59, 60, 63, 65, 66, 73, 80]"
on-numara,2021,Eylül,9,72,"[2, 4, 6, 7, 16, 20, 23, 25, 36, 39, 44, 49, 51, 52, 56, 58, 62, 63, 67, 69, 70, 77]"
on-numara,2021,Eylül,9,71,"[11, 14, 18, 19, 20, 26, 27, 28, 29, 44, 47, 50, 52, 54, 55, 58, 64, 65, 66, 69, 70, 75]"
