tconst,titleType,originalTitle,startYear,genres,averageRating,numVotes,m_rating,Streaming
tt0088323,movie,The Neverending Story,1984.0,"Adventure,Drama,Family",7.3,163363.0,0.0,"Apple TV,Apple TV"
tt0088847,movie,The Breakfast Club,1985.0,"Comedy,Drama",7.8,454535.0,0.0,"Apple TV,Apple TV"
tt0088939,movie,The Color Purple,1985.0,Drama,7.7,100609.0,0.0,blutv
tt0088944,movie,Commando,1985.0,"Action,Adventure,Thriller",6.7,180973.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0089218,movie,The Goonies,1985.0,"Adventure,Comedy,Family",7.7,311295.0,0.0,"Apple TV,Apple TV"
tt0090728,movie,Big Trouble in Little China,1986.0,"Action,Adventure,Comedy",7.2,160166.0,0.0,"Apple TV,Apple TV"
tt0091763,movie,Platoon,1986.0,"Drama,War",8.1,454236.0,0.0,"Amazon Prime Video,Apple TV,Apple TV"
tt0092067,movie,Tenkû no shiro Rapyuta,1986.0,"Adventure,Animation,Family",8.0,190073.0,0.0,Netflix
tt0092890,movie,Dirty Dancing,1987.0,"Drama,Music,Romance",7.1,268217.0,0.0,"Apple TV,Apple TV"
tt0092965,movie,Empire of the Sun,1987.0,"Drama,War",7.7,138092.0,0.0,"Apple TV,Apple TV"
tt0093105,movie,"Good Morning, Vietnam",1987.0,"Biography,Comedy,Drama",7.3,159427.0,0.0,Disney Plus
tt0093389,movie,The Last Emperor,1987.0,"Biography,Drama,History",7.7,115485.0,0.0,"TV+,Apple TV"
tt0093428,movie,The Living Daylights,1987.0,"Action,Adventure,Thriller",6.7,109584.0,0.0,"Apple TV,Apple TV"
tt0093437,movie,The Lost Boys,1987.0,"Comedy,Horror",7.2,168996.0,0.0,"Apple TV,Apple TV"
tt0093748,movie,"Planes, Trains & Automobiles",1987.0,"Comedy,Drama",7.6,169601.0,0.0,"Apple TV,Apple TV"
tt0093773,movie,Predator,1987.0,"Action,Adventure,Horror",7.8,474738.0,0.0,"Disney Plus,Netflix,Apple TV,Apple TV"
tt0094012,movie,Spaceballs,1987.0,"Adventure,Comedy,Sci-Fi",7.1,214270.0,0.0,"Apple TV,Apple TV"
tt0094226,movie,The Untouchables,1987.0,"Crime,Drama,Thriller",7.8,341910.0,0.0,"Apple TV,Apple TV"
tt0094737,movie,Big,1988.0,"Comedy,Drama,Fantasy",7.3,249323.0,0.0,Disney Plus
tt0094898,movie,Coming to America,1988.0,"Comedy,Romance",7.1,231608.0,0.0,"Apple TV,Apple TV"
tt0095159,movie,A Fish Called Wanda,1988.0,"Comedy,Crime",7.5,159447.0,0.0,"Amazon Prime Video,Apple TV,Apple TV"
tt0095489,movie,The Land Before Time,1988.0,"Adventure,Animation,Drama",7.4,102753.0,0.0,"Apple TV,Apple TV"
tt0095647,movie,Mississippi Burning,1988.0,"Crime,Drama,Mystery",7.8,120069.0,0.0,"Amazon Prime Video,Apple TV,Apple TV"
tt0096438,movie,Who Framed Roger Rabbit,1988.0,"Adventure,Animation,Comedy",7.7,224788.0,0.0,Disney Plus
tt0096446,movie,Willow,1988.0,"Action,Adventure,Drama",7.2,133735.0,0.0,Disney Plus
tt0096969,movie,Born on the Fourth of July,1989.0,"Biography,Drama,War",7.2,119908.0,0.0,"Apple TV,Apple TV"
tt0097351,movie,Field of Dreams,1989.0,"Drama,Family,Fantasy",7.5,133391.0,0.0,"Apple TV,Apple TV"
tt0097441,movie,Glory,1989.0,"Biography,Drama,History",7.8,148831.0,0.0,"Apple TV,Apple TV"
tt0097742,movie,Licence to Kill,1989.0,"Action,Adventure,Thriller",6.7,115543.0,0.0,"Apple TV,Apple TV"
tt0097757,movie,The Little Mermaid,1989.0,"Adventure,Animation,Family",7.6,300990.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0097814,movie,Majo no takkyûbin,1989.0,"Animation,Family,Fantasy",7.8,176069.0,0.0,Netflix
tt0097958,movie,National Lampoon's Christmas Vacation,1989.0,Comedy,7.5,234498.0,0.0,"Apple TV,Apple TV"
tt0098084,movie,Pet Sematary,1989.0,"Fantasy,Horror,Thriller",6.5,119286.0,0.0,"Apple TV,Apple TV"
tt0098206,movie,Road House,1989.0,"Action,Thriller",6.7,106708.0,0.0,"Amazon Prime Video,Apple TV"
tt0098554,movie,Uncle Buck,1989.0,Comedy,7.1,113794.0,0.0,"Apple TV,Apple TV"
tt0098635,movie,When Harry Met Sally...,1989.0,"Comedy,Drama,Romance",7.7,254417.0,0.0,Amazon Prime Video
tt0099487,movie,Edward Scissorhands,1990.0,"Drama,Fantasy,Romance",7.9,544425.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0099653,movie,Ghost,1990.0,"Drama,Fantasy,Romance",7.1,247018.0,0.0,"Apple TV,Apple TV"
tt0099810,movie,The Hunt for Red October,1990.0,"Action,Adventure,Thriller",7.5,222079.0,0.0,"Apple TV,Apple TV"
tt0100150,movie,Miller's Crossing,1990.0,"Crime,Drama,Thriller",7.7,145553.0,0.0,Apple TV
tt0100157,movie,Misery,1990.0,"Drama,Thriller",7.8,248787.0,0.0,Amazon Prime Video
tt0100405,movie,Pretty Woman,1990.0,"Comedy,Romance",7.1,384004.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0100758,movie,Teenage Mutant Ninja Turtles,1990.0,"Action,Adventure,Comedy",6.8,108188.0,0.0,"Apple TV,Apple TV"
tt0101272,movie,The Addams Family,1991.0,"Comedy,Fantasy",6.9,190444.0,0.0,Netflix
tt0101410,movie,Barton Fink,1991.0,"Comedy,Drama,Thriller",7.6,132089.0,0.0,"Apple TV,Apple TV"
tt0101507,movie,Boyz n the Hood,1991.0,"Crime,Drama",7.8,161503.0,0.0,Netflix
tt0101540,movie,Cape Fear,1991.0,"Crime,Thriller",7.3,225862.0,0.0,"Apple TV,Apple TV"
tt0102059,movie,Hot Shots!,1991.0,"Action,Comedy",6.7,120338.0,0.0,Disney Plus
tt0102685,movie,Point Break,1991.0,"Action,Crime,Thriller",7.3,212717.0,0.0,"Apple TV,Apple TV"
tt0102798,movie,Robin Hood: Prince of Thieves,1991.0,"Action,Adventure,Drama",6.9,215140.0,0.0,Amazon Prime Video
tt0103074,movie,Thelma & Louise,1991.0,"Adventure,Crime,Drama",7.6,182581.0,0.0,"Amazon Prime Video,Apple TV,Apple TV"
tt0103639,movie,Aladdin,1992.0,"Adventure,Animation,Comedy",8.0,484921.0,0.0,"Disney Plus,Apple TV"
tt0103772,movie,Basic Instinct,1992.0,"Drama,Mystery,Thriller",7.1,230626.0,0.0,Netflix
tt0103874,movie,Bram Stoker's Dracula,1992.0,"Fantasy,Horror,Romance",7.4,254887.0,0.0,"TV+,Apple TV,Apple TV"
tt0103919,movie,Candyman,1992.0,"Horror,Thriller",6.7,104822.0,0.0,Amazon Prime Video
tt0104257,movie,A Few Good Men,1992.0,"Drama,Thriller",7.7,300769.0,0.0,"Apple TV,Apple TV"
tt0104652,movie,Kurenai no buta,1992.0,"Adventure,Animation,Comedy",7.7,108727.0,0.0,Netflix
tt0104691,movie,The Last of the Mohicans,1992.0,"Action,Adventure,Drama",7.6,196326.0,0.0,Netflix
tt0104952,movie,My Cousin Vinny,1992.0,"Comedy,Crime",7.6,148894.0,0.0,"Apple TV,Apple TV"
tt0105112,movie,Patriot Games,1992.0,"Action,Thriller",6.8,124275.0,0.0,"Apple TV,Apple TV"
tt0105323,movie,Scent of a Woman,1992.0,Drama,8.0,348539.0,0.0,"Netflix,Apple TV,Apple TV"
tt0105417,movie,Sister Act,1992.0,"Comedy,Family,Music",6.5,113071.0,0.0,Disney Plus
tt0105665,movie,Twin Peaks: Fire Walk with Me,1992.0,"Drama,Horror,Mystery",7.3,111885.0,0.0,MUBI
tt0105812,movie,White Men Can't Jump,1992.0,"Comedy,Sport",6.8,101722.0,0.0,Disney Plus
